book_id,title,author,genre,year,description
68,Harry Potter and the Sorcerer's Stone (Book 68),Leo Tolstoy,Fantasy,1954,"An engaging political fiction book by Mark Twain. This book explores themes of human nature, society, and the complexities of life."
69,Great Expectations (Book 69),Leo Tolstoy,Mystery,1925,"An engaging fantasy book by Jane Austen. This book explores themes of human nature, society, and the complexities of life."
70,Lord of the Flies (Book 70),Orson Scott Card,Fantasy,1811,"An engaging fiction book by Mark Twain. This book explores themes of human nature, society, and the complexities of life."
71,The Lord of the Rings (Book 71),Leo Tolstoy,Fiction,1989,"An engaging philosophical fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
72,Ender's Game (Book 72),John Green,Fiction,1828,"An engaging dystopian book by J.K. Rowling. This book explores themes of human nature, society, and the complexities of life."
73,The Maze Runner (Book 73),George Orwell,Gothic Fiction,1949,"An engaging thriller book by J.K. Rowling. This book explores themes of human nature, society, and the complexities of life."
74,Ender's Game (Book 74),J.R.R. Tolkien,Fiction,1878,"An engaging gothic fiction book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
75,The Scarlet Letter (Book 75),Charles Dickens,Memoir,1863,"An engaging memoir book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
76,The Scarlet Letter (Book 76),John Green,Fiction,1958,"An engaging business book by J.K. Rowling. This book explores themes of human nature, society, and the complexities of life."
77,The Brothers Karamazov (Book 77),J.R.R. Tolkien,Fiction,1905,"An engaging fiction book by Charlotte Brontë. This book explores themes of human nature, society, and the complexities of life."
78,The Adventures of Huckleberry Finn (Book 78),Isaac Asimov,Memoir,2021,"An engaging business book by Fyodor Dostoevsky. This book explores themes of human nature, society, and the complexities of life."
79,Anna Karenina (Book 79),J.R.R. Tolkien,Self-Help,1827,"An engaging gothic fiction book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
80,The Martian (Book 80),Fyodor Dostoevsky,Political Fiction,2009,"An engaging philosophical fiction book by Nathaniel Hawthorne. This book explores themes of human nature, society, and the complexities of life."
81,The Iliad (Book 81),Fyodor Dostoevsky,Dystopian,1806,"An engaging memoir book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
82,Dune (Book 82),Mark Twain,Fantasy,2021,"An engaging dystopian book by Leo Tolstoy. This book explores themes of human nature, society, and the complexities of life."
83,The Scarlet Letter (Book 83),Suzanne Collins,Gothic Fiction,1973,"An engaging thriller book by Mark Twain. This book explores themes of human nature, society, and the complexities of life."
84,To Kill a Mockingbird (Book 84),Aldous Huxley,Fantasy,1845,"An engaging young adult book by Leo Tolstoy. This book explores themes of human nature, society, and the complexities of life."
85,1984 (Book 85),George Orwell,Romance,1911,"An engaging gothic fiction book by Herman Melville. This book explores themes of human nature, society, and the complexities of life."
86,Ender's Game (Book 86),John Green,Mystery,1829,"An engaging gothic fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
87,Wuthering Heights (Book 87),Leo Tolstoy,Fiction,1981,"An engaging fiction book by F. Scott Fitzgerald. This book explores themes of human nature, society, and the complexities of life."
88,Divergent (Book 88),James Dashner,Memoir,1984,"An engaging business book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
89,Fahrenheit 451 (Book 89),Orson Scott Card,Dystopian,1970,"An engaging fantasy book by John Green. This book explores themes of human nature, society, and the complexities of life."
90,Moby Dick (Book 90),Aldous Huxley,Business,1876,"An engaging mystery book by Homer. This book explores themes of human nature, society, and the complexities of life."
91,Foundation (Book 91),Herman Melville,Gothic Fiction,1978,"An engaging fantasy book by John Green. This book explores themes of human nature, society, and the complexities of life."
92,The Lord of the Rings (Book 92),Emily Brontë,Fiction,1970,"An engaging gothic fiction book by Charlotte Brontë. This book explores themes of human nature, society, and the complexities of life."
93,"Will Grayson, Will Grayson (Book 93)",John Green,Fantasy,1903,"An engaging thriller book by F. Scott Fitzgerald. This book explores themes of human nature, society, and the complexities of life."
94,The Iliad (Book 94),Homer,Political Fiction,1910,"An engaging young adult book by John Green. This book explores themes of human nature, society, and the complexities of life."
95,Moby Dick (Book 95),William Gibson,Philosophical Fiction,1913,"An engaging memoir book by Charles Dickens. This book explores themes of human nature, society, and the complexities of life."
96,The Hunger Games (Book 96),Andy Weir,Business,1843,"An engaging memoir book by William Golding. This book explores themes of human nature, society, and the complexities of life."
97,The Odyssey (Book 97),Suzanne Collins,Memoir,1962,"An engaging romance book by Mark Twain. This book explores themes of human nature, society, and the complexities of life."
98,Lord of the Flies (Book 98),Fyodor Dostoevsky,Memoir,1879,"An engaging dystopian book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
99,Harry Potter and the Sorcerer's Stone (Book 99),Harper Lee,Fiction,1862,"An engaging science fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
100,The Catcher in the Rye (Book 100),William Gibson,Fiction,1961,"An engaging young adult book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
